id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude
ABGP0088160,Suspended,ALTAGAS PRINCESS,GP,Princess,Campus Energy Partners Operations Inc.,100.0% - Campus Energy Partners Operations Inc.,2006-01-01,50.70135,-111.55396
ABGP0088446,Suspended,LELAND SWEETENING 14-23-58-26W5,GP,Leland Sweetening Plant,Canadian Natural Resources Limited,8.8% - Semcams Midstream Ulc; 39.0% - Talisman Corporation; 52.2% - Canadian Natural Resources Limited,,54.03376,-117.75789
ABGP0088508,Suspended,CLEAR PRAIRIE,GP,Clear Prairie,Altagas Ltd.,100.0% - Altagas Ltd.,2006-01-01,56.84815,-119.84674
ABGP0088516,Active,ACL NGL L.P. SOUTH 9-14-30-27 PLANT,GP,Acl Ngl L.P. South,Ember Resources Inc.,100.0% - Ember Resources Inc.,2006-01-01,51.57064,-113.68812
ABGP0088615,Suspended,IRON CREEK GAS PLANT,GP,Iron Creek,Axiom Oil And Gas Inc.,100.0% - Axiom Oil And Gas Inc.,1999-01-01,52.92885,-111.88746
ABGP0089018,Active,PEYTO WILDHAY 04-21-55-23 W5 GP,GP,Wildhay,Peyto Exploration & Development Corp.,100.0% - Peyto Exploration & Development Corp.,2006-01-01,53.76109,-117.36744
ABGP0089265,Active,VERMILION PEMBINA 16-26-047-08W5,GP,Violet Grove,Arc Resources Ltd.,100.0% - Arc Resources Ltd.,2006-01-01,53.08875,-115.05317
ABGP0089314,Suspended,CROOKED CREEK 2-30-71-26W5,GP,Crooked Creek,Canadian Natural Resources Limited,28.0% - Paramount Resources Ltd.; 72.0% - Canadian Natural Resources Limited,2005-01-01,55.17252,-117.98554
ABGP0089350,Active,TRILOGY DEEP VALLEY 01-15-063-25W5,GP,Deep Valley,Paramount Resources Ltd.,75.0% - Paramount Resources Ltd.; 25.0% - Cequence Energy Ltd.,2006-01-01,54.44527,-117.685
ABGP0089584,Active,SANDHILLS GAS PLANT,GP,Sandhills,N7 Energy Ltd.,100.0% - N7 Energy Ltd.,2006-01-01,54.39034,-114.76114
ABGP0089756,Active,APACHE NGL LONEPINE WEST 2-29-31-28W,GP,NGL Lonepine West,Ember Resources Inc.,100.0% - Ember Resources Inc.,2006-01-01,51.68027,-113.93499
ABGP0089914,Active,981405 WEDGE GAS PLANT,GP,Wedge Gas Plant,Tallahassee Exploration Inc.,100.0% - Tallahassee Exploration Inc.,2006-01-01,54.34654,-114.89833
ABGP0089955,Active,981405 THUNDER GAS PLANT 9-6-61-5W5,GP,Thunder,N7 Energy Ltd.,100.0% - N7 Energy Ltd.,2006-01-01,54.24852,-114.73002
ABGP0090067,Active,SUFFIELD-13-10-016-09 W4M,GP,Suff Refridge,Harvest Operations Corp.,100.0% - Harvest Operations Corp.,,50.33719,-111.17008
ABGP0090090,Suspended,HUSKY LUBICON 7-1 GAS PLANT,GP,Lubicon,Surge Energy Inc.,100.0% - Surge Energy Inc.,1984-01-01,56.51381,-115.607
ABGP0090092,Active,CLEAR HILLS GAS PLANT,GP,Clear Hills,Altagas Ltd.,100.0% - Altagas Ltd.,2006-01-01,56.62268,-119.91295
ABGP0090355,New,WOKING 16-9-75-4W6,GP,Woking,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,55.48864,-118.54674
ABGP0090715,Active,PUSKWA 03-03-072-26W5,GP,Puskwa,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,2006-01-01,55.20179,-117.9149
ABGP0090799,Active,EAGLESHAM GP 01-25-76-01W6,GP,Eaglesham,Long Run Exploration Ltd.,100.0% - Long Run Exploration Ltd.,2006-01-01,55.60879,-118.00369
ABGP0090807,Suspended,PRAIRIE RIVER GAS PLANT,GP,Prairie River,Altagas Ltd.,100.0% - Altagas Ltd.,,55.24914,-116.6328
ABGP0090927,Active,WIN COWLEY 13-34-8-2W5 PLANT,GP,Cowley,Tamarack Acquisition Corp.,100.0% - Tamarack Acquisition Corp.,2006-01-01,49.69688,-114.20135
ABGP0091427,Active,PEYTO NOSEHILL 11-21-55-20 W5 GAS PL,GP,Nosehill,Peyto Exploration & Development Corp.,100.0% - Peyto Exploration & Development Corp.,2006-01-01,53.76827,-116.91545
ABGP0091983,Active,BNP WHITECOURT GAS PLANT 16-30,GP,Bnp Whitecourt,Outlier Resources Ltd.,100.0% - Outlier Resources Ltd.,2006-01-01,54.22327,-115.92961
ABGP0092557,Suspended,CORBETT 10-03-61-07W5M GAS PLANT,GP,Corbett,Velvet Energy Ltd.,100.0% - Velvet Energy Ltd.,2005-01-01,54.24852,-114.96101
ABGP0092867,Suspended,EOG HALKIRK 16-28-38-15W4 GAS PLANT,GP,Halkirk,Karve Energy Inc.,100.0% - Karve Energy Inc.,2004-01-01,52.30141,-112.07934
ABGP0093212,Suspended,IMP WEST PEMBINA ACID GAS INJ,GP,Imp West Pembina Acid Gas Inj,Keyera Energy Ltd.,100.0% - Keyera Energy Ltd.,,53.25607,-115.55272
ABGP0093223,Active,FERINTOSH 9-16-43-21W4,GP,Ferintosh,Shackleton Exploration Ltd.,50.0% - Shackleton Exploration Ltd.; 50.0% - Taqa North Ltd.,2006-01-01,52.70698,-112.98224
ABGP0093277,Active,WILLESDEN GREEN GAS PLANT,GP,Faraway,Obsidian Energy Ltd.,90.0% - Obsidian Energy Ltd.; 10.0% - Taqa North Ltd.,2007-01-01,52.59412,-114.88004
ABGP0093647,Suspended,GIBRALTAR CUTPICK 2-21-60-8W6 GP,GP,Cutpick,Gibraltar Exploration Ltd.,100.0% - Crescent Point Energy Corp.,2007-01-01,54.19768,-119.13417
ABGP0094071,Suspended,JUPITER GAS PLANT 4-36-58-24W5,GP,Berland West,Repsol Oil & Gas Canada Inc.,100.0% - Repsol Oil & Gas Canada Inc.,2007-01-01,54.05202,-117.44182
ABGP0094290,Suspended,CHOICE 4-5-041-09W4 GAS PLANT,GP,Choice,Ovintiv Canada Ulc,100.0% - Sanling Energy Ltd.,,52.49407,-111.27331
ABGP0094322,Active,BASHAW 12-32-41-20W4 GAS PLANT,GP,Bashaw,Long Run Exploration Ltd.,100.0% - Long Run Exploration Ltd.,2007-01-01,52.57445,-112.85641
ABGP0094379,Active,JUPITER KAKWA 01-35-060-05W6 GP,GP,Kakwa,Tourmaline Oil Corp.,50.0% - Jupiter Resources Inc.; 50.0% - Tourmaline Oil Corp.,2006-01-01,54.22684,-118.62814
ABGP0094382,Active,7G LATOR 01-21-63-02W6 GAS PLANT,GP,SCP Lator# 1,Arc Resources Ltd.,100.0% - Arc Resources Ltd.,,54.45974,-118.23009
ABGP0094954,Active,RESTHAVEN 8-11-60-3W6 GP,GP,Resthaven Deep Cut Plant,Pembina Gas Services Ltd.,15.0% - Conocophillips Canada Limited; 10.0% - Paramount Resources Ltd.; 5.0% - Canadian Natural Resources Limited; 70.0% - Pembina Gas Services Ltd.,2006-01-01,54.17226,-118.32829
ABGP0094957,Suspended,ENCANA RESTHAVEN 7-11-60-3W6 GP,GP,Resthaven,Tourmaline Oil Corp.,100.0% - Tourmaline Oil Corp.,2005-01-01,54.17227,-118.33446
ABGP0095425,Suspended,ANGLE EDSON 10-28 GAS PLANT,GP,Edson,Bonavista Energy Corporation,100.0% - Bonavista Energy Corporation,2007-01-01,53.60839,-116.29534
ABGP0095721,Active,GEM GAS PLANT,GP,Gem,Torxen Energy Ltd.,100.0% - Torxen Energy Ltd.,,50.97779,-112.24066
ABGP0095741,Active,VELVET EDSON 12-15-53-15W5 GAS PLANT,GP,Edson,Velvet Energy Ltd.,100.0% - Velvet Energy Ltd.,2009-01-01,53.57945,-116.13579
ABGP0095750,Active,BOW ISLAND 6-26-11-11W4,GP,Bow Island,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1996-01-01,49.93704,-111.40637
ABGP0096078,Suspended,ALTAGAS ACME,GP,Acme,Altagas Ltd.,100.0% - Ember Resources Inc.,,51.47237,-113.64132
ABGP0096335,Active,DUVERNAY SUNDANCE GAS PLANT 15-7,GP,Sundance,Tourmaline Oil Corp.,100.0% - Tourmaline Oil Corp.,2006-01-01,53.65556,-117.08161
ABGP0096366,Suspended,PINE CREEK 13-9-55-18W5 GAS PLANT,GP,Pine Creek,Long Run Exploration Ltd.,100.0% - Long Run Exploration Ltd.,,53.74286,-116.62421
