id,status,name,type,plant_name,current_operator,original_operator,co-owner,constructed_date,activated_date,field_name,latitude,longitude,location
ABGP0110251,Suspended,Celtic Utikuma Gp 13-15-81-09W5,GP,Utikuma,Xto Energy Canada,,100.0% - Xto Energy Canada Ulc,,,,56.02715,-115.32827,13-15-081-09W5M
ABGP0110804,Active,Blackpearl Mooney Gas Plant,GP,Mooney,Ipc Canada Ltd.,,100.0% - Ipc Canada Ltd.,2005-01-01,,,55.23429,-115.06894,06-18-072-07W5M
ABGP0110886,Suspended,Darwin 16-28-94-18 Gp,GP,Darwin,Baytex Energy Ltd.,,26.6% - Baytex Energy Ltd.; 73.4% - Perpetual Energy Inc.,1997-01-01,,,57.18998,-116.8232,16-28-094-18W5M
ABGP0111570,Active,Tourmaline Hinton 06-32 Gas Plant,GP,Hinton,Tourmaline Oil Corp.,,100.0% - Tourmaline Oil Corp.,,,,53.44472,-117.65256,06-32-051-25W5M
ABGP0112787,Active,Twin Butte Viking Gp 16-01-48-13W4,GP,Viking,West Lake Energy Corp.,,100.0% - West Lake Energy Corp.,2003-01-01,,,53.1159,-111.7633,16-01-048-13W4M
ABGP0113730,Suspended,South Brintnell 13-01-81-23W4,GP,South Britnell,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,,,,55.99706,-113.4736,13-01-081-23W4M
ABGP0113988,Suspended,Hillsdown Lp Gas Gathering System,GP,Hillsdown,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,,,,52.15576,-113.5253,13-04-037-25W4M
ABGP0113989,Suspended,14-04 Scada Meter Ggs,GP,Scada Meter Ggs,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,,,,52.15576,-113.5253,13-04-037-25W4M
ABGP0114466,Suspended,Brantfarrow 14-05-019-24W4 Gas Plant,GP,Brantfarrow,Taqa North Ltd.,,68.0% - Taqa North Ltd.; 32.0% - Coastal Resources Limited,1999-01-01,,,50.58502,-113.29692,14-05-019-24W4M
ABGP0115041,New,Hamburg 4-30-94-12W6,GP,Hamburg 04-30,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,,,,57.17919,-119.92916,04-30-094-12W6M
ABGP0115356,Active,Banshee 15-12 Gas Plant,GP,Banshee,Tourmaline Oil Corp.,,100.0% - Tourmaline Oil Corp.,2011-01-01,,,53.30685,-116.93577,15-12-050-21W5M
ABGP0115599,Active,Cypress 4-29-14-10W4,GP,Cypress,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,1994-01-01,,,50.19556,-111.34372,04-29-014-10W4M
ABGP0115771,Active,Marlboro 05-29 Gas Plant,GP,Marlboro,Bonavista Energy Corporation,,41.4% - Bonavista Energy Corporation; 18.6% - Sinopec Daylight Energy Ltd.; 40.0% - Tidewater Resources Inc.,,,,53.7793,-116.79752,05-29-055-19W5M
ABGP0116752,Suspended,Angle Rosevear 07-20-053-15W5 Plant,GP,Rosevear,Bonavista Energy Corporation,,100.0% - Bonavista Energy Corporation,2011-01-01,,,53.59027,-116.1728,07-20-053-15W5M
ABGP0117576,Active,Pouce Coupe,GP,Pouce Coupe,Altagas Ltd.,,100.0% - Altagas Ltd.,,,,55.98713,-119.94802,03-03-081-13W6M
ABGP0117818,Active,Anderson Gp 00/01-09-051-24W5M,GP,Anderson,Tourmaline Oil Corp.,,100.0% - Tourmaline Oil Corp.,,,,53.38309,-117.46844,01-09-051-24W5M
ABGP0118855,Active,Pgs Kakwa River 08-13,GP,Kakwa River,Pembina Gas Services Ltd.,,100.0% - Pembina Gas Services Ltd.,2012-01-01,,,54.44895,-118.60768,08-13-063-05W6M
ABGP0119271,Active,Musreau Gp 02/08-13-062-06W6M,GP,Musreau,Tourmaline Oil Corp.,,100.0% - Tourmaline Oil Corp.,2010-01-01,,,54.36146,-118.75311,08-13-062-06W6M
ABGP0119546,Active,Marten Ck 10-02-077-05W5 Gas Plant,GP,Marten Creek,Axiom Oil And Gas Inc.,,100.0% - Axiom Oil And Gas Inc.,1995-01-01,,,55.64488,-114.65784,10-02-077-05W5M
ABGP0119547,Suspended,Hoole,GP,Hoole,Tidewater Midstream And Infrastructure Ltd.,,100.0% - Tidewater Midstream And Infrastructure Ltd.,,,,55.98242,-113.76757,16-36-080-25W4M
ABGP0119690,Suspended,Hoole S 16-36-080-25W4 Gas Plant,GP,Hoole,Tidewater Midstream And Infrastructure Ltd.,,100.0% - Tidewater Midstream And Infrastructure Ltd.,,,,55.98242,-113.76757,16-36-080-25W4M
ABGP0119722,Suspended,12-25-062-04W5 Gas Plant,GP,Vega,Taqa North Ltd.,,100.0% - Taqa North Ltd.,,,,54.39407,-114.47354,12-25-062-04W5M
ABGP0119754,Active,Cross Alta Gas Plant,GP,Cross Alta,Transcanada Energy Ltd.,,100.0% - Transcanada Energy Ltd.,1993-01-01,,,51.40014,-114.03397,15-14-028-01W5M
