id,licensed_capacity_of_raw_gas_mcf/d,licensed_capacity_of_sales_gas_mcf/d,licensed_capacity_of_ethane_c2_bbl/d,licensed_capacity_of_ethane_plus_c2+_bbl/d,licensed_capacity_of_propane_c3_bbl/d,licensed_capacity_of_butane_c4_bbl/d,licensed_capacity_of_pentane_plus_c5+_bbl/d,licensed_capacity_of_ngl_bbl/d,licensed_capacity_of_lpg_bbl/d,licensed_capacity_of_sulphur_ton/d,design_capacity_of_raw_gas_mcf/d,design_capacity_of_sales_gas_mcf/d,design_capacity_of_oil_bbl/d,design_capacity_of_ethane_c2_bbl/d,design_capacity_of_propane_c3_bbl/d,design_capacity_of_butane_c4_bbl/d,design_capacity_of_pentane_plus_c5+_bbl/d,design_capacity_of_ngl_bbl/d,design_capacity_of_sulphur_ton/d
ABGP0001167,29840.89,28958.02,0.0,0.0,0.0,0.0,6.29,,651.31,,21188.8,21188.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001168,9888.11,,,,,,,,,,4674.6,4355.0,0.0,0.0,0.0,0.0,0.0,62.93,0.0
ABGP0001169,238797.75,229287.51,0.0,6204.77,0.0,0.0,2133.28,,3102.38,,160681.71,150087.32,0.0,3335.22,2076.65,755.14,2265.43,6292.87,0.0
ABGP0001170,5650.35,,,,,,,,,,,,,,,,,,
ABGP0001171,8828.67,8263.63,0.0,0.0,0.0,0.0,0.0,,56.64,,9711.53,10241.25,0.0,0.0,0.0,0.0,0.0,88.1,0.0
ABGP0001172,7239.51,6709.79,0.0,0.0,0.0,0.0,0.0,,188.79,,14000.14,14000.14,0.0,0.0,0.0,0.0,0.0,100.69,0.0
ABGP0001173,219975.03,,,,,,,,,,218950.91,113006.92,0.0,6292.87,0.0,0.0,0.0,4405.01,0.0
ABGP0001174,12677.96,11830.41,,,,,125.86,,125.86,,10594.4,10594.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001175,21895.09,,,,,,,,,,14125.86,14125.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001176,6269.41,,,,,,,,,,1094.75,1059.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001177,54737.73,51206.26,0.0,0.0,0.0,0.0,31.46,,220.25,0.0,54737.73,51206.26,,,,,,220.25,
ABGP0001178,10594.4,9923.42,0.0,0.0,0.0,0.0,11.96,,0.0,,30000.16,30000.16,0.0,0.0,0.0,0.0,0.0,12.59,0.0
ABGP0001179,15891.6,14697.96,,,,,12.59,,,,17657.33,15891.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001180,2487.92,,,,,,,,,,,,,,,,,,
ABGP0001181,6921.67,6709.79,0.0,0.0,0.0,0.0,0.0,,193.19,,2262.96,2176.44,0.0,0.0,0.0,0.0,0.0,53.49,0.0
ABGP0001182,18010.48,,,,,,,,,,1366.32,1246.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001183,19105.23,17780.93,0.0,0.0,0.0,0.0,24.54,,0.0,,17657.33,17657.33,0.0,0.0,0.0,0.0,0.0,6.29,0.0
ABGP0001184,87830.39,47903.63,,,,,7596.75,,3005.47,,63566.39,60034.93,0.0,0.0,0.0,0.0,0.0,2517.15,0.0
ABGP0001185,17657.33,11187.69,271851.98,0.0,0.0,0.0,0.0,,534.89,,10000.05,10000.05,0.0,0.0,0.0,0.0,0.0,251.71,0.0
ABGP0001186,6956.99,6815.73,,,,,6.29,,157.32,,4999.85,1999.87,0.0,31464.35,0.0,0.0,0.0,188.79,0.0
ABGP0001187,0.0,,,,,,,,,,,,,,,,,,
ABGP0001188,,,,,,,,,,,,,,,,,,,
ABGP0001189,38492.98,35314.66,0.0,1101.25,0.0,0.0,0.0,,0.0,,34961.52,34961.52,0.0,0.0,0.0,0.0,0.0,692.22,0.0
ABGP0001190,,,,,,,,,,,,,,,,,,,
ABGP0001191,54808.36,50655.35,0.0,0.0,0.0,0.0,106.98,,430.43,,55000.11,46200.05,0.0,0.0,0.0,0.0,0.0,503.43,0.0
ABGP0001192,6003.49,4829.28,,,,,,,950.22,,9217.13,3743.35,0.0,132.15,125.86,0.0,6.29,1938.2,0.0
ABGP0001193,11512.58,,,,,,,,,,10000.05,9994.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001194,1412.59,1059.44,0.0,0.0,0.0,0.0,0.0,,0.0,,353.15,353.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001195,4530.87,4431.99,0.0,0.0,0.0,0.0,0.0,,0.0,,4620.57,994.81,1006.86,0.0,0.0,0.0,0.0,471.97,0.0
ABGP0001196,18010.48,17939.85,0.0,44.68,0.0,0.0,0.0,,0.0,0.0,18010.48,18010.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001197,4061.19,,,,,,,,,,3531.47,3531.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
