id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude,sub_type,location
ABGP0001683,Suspended,Devon Culp,GP,Culp,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,55.82327,-117.6323,Gas Plant Sweet,16-02-079-24W5M
ABGP0001684,Suspended,Apache Provost,GP,Provost,Battle River Energy Ltd.,30.0% - Paramount Resources (Acl) Ltd.; 60.0% - Battle River Energy Ltd.; 10.0% - Provident Energy Ltd.,1990-01-01,52.33274,-111.35531,Gas Plant Acid Gas Injection,02-10-039-10W4M
ABGP0001685,Abandoned,Husky Cadotte 10-34,GP,Simons Lake,Obsidian Energy Ltd.,100.0% - Obsidian Energy Ltd.,1989-01-01,56.5023,-116.75219,Gas Plant Acid Gas Injection,10-34-086-18W5M
ABGP0001686,Abandoned,Waskahigan West  11-14-63-22W5,GP,Waskahigan,Arc Resources Ltd.,100.0% - Arc Resources Ltd.,,54.45329,-117.21972,Gas Plant Sweet,11-14-063-22W5M
ABGP0001687,Active,D Energy Woodriver 1-28-43-23W4,GP,Wood River,Ember Resources Inc.,100.0% - Ember Resources Inc.,,52.72764,-113.27066,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,01-28-043-23W4M
ABGP0001688,Active,Stettler 8-24-38-19W4,GP,Beltz Lake,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1993-01-01,52.28106,-112.57865,Gas Plant Sweet,08-24-038-19W4M
ABGP0001689,Abandoned,Keyspan Northstar,GP,Northstar,Tourmaline Oil Corp.,100.0% - Sydco Energy Inc.,,56.81431,-117.58905,Gas Plant Sweet,04-22-090-23W5M
ABGP0001690,Active,Husky Galahad 1-14,GP,Hastings Coulee,Alphabow Energy Ltd.,100.0% - Alphabow Energy Ltd.,1994-01-01,52.525,-112.047,Gas Plant Sulphur Recovery,01-14-041-15W4M
ABGP0001691,Suspended,Husky Taber South,GP,Taber South,Cenovus Energy Inc.,100.0% - Cenovus Energy Inc.,,49.69825,-112.28862,Gas Plant Sulphur Recovery,16-31-008-17W4M
ABGP0001692,Suspended,Paramount Kaybob,GP,Kaybob North,Paramount Resources Ltd.,100.0% - Paramount Resources Ltd.,,54.50572,-116.44326,Gas Plant Sweet,05-01-064-17W5M
ABGP0001693,Active,Pengrowth Mcleod,GP,Mcleod,Pine Cliff Energy Ltd.,70.0% - Pine Cliff Energy Ltd.,,53.83114,-115.93731,Gas Plant Sweet,16-12-056-14W5M
ABGP0001694,Active,Summit Craigmyle,GP,Chain,Tallahassee Exploration Inc.,100.0% - Tallahassee Exploration Inc.,,51.81542,-112.45491,Gas Plant Sweet,06-11-033-18W4M
ABGP0001695,Suspended,Pancdn Provost,GP,Thompson Lake,Cenovus Energy Inc.,100.0% - Alphabow Energy Ltd.,1993-01-01,52.47574,-111.44191,Gas Plant Sulphur Recovery,13-30-040-10W4M
ABGP0001696,Abandoned,Bear Canyon 1-18-84-12W6,GP,Boundary Lake South,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,56.27703,-119.87528,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,01-18-084-12W6M
ABGP0001697,Active,Shinning Bank Gas Plant,GP,Shiningbank,Ish Energy Ltd.,100.0% - Ish Energy Ltd.,1994-01-01,53.8276,-116.38762,Gas Plant Sweet,10-12-056-17W5M
ABGP0001698,Active,Midcoast Provost,GP,Hansman North,Surge Energy Inc.,100.0% - Surge Energy Inc.,1994-01-01,52.4403,-110.31911,Gas Plant Sulphur Recovery,08-14-040-03W4M
ABGP0001699,Suspended,Western Facility Managmentfenn-Big V,GP,Western Facility Management Fenn-Big Valley,Keyera Energy Ltd.,100.0% - Keyera Energy Ltd.,,52.09107,-112.76239,Gas Plant Sweet,05-14-036-20W4M
ABGP0001700,Active,Buck Creek Frac Plant,GP,Buck Creek Fractionation Plant,Plains Midstream Canada Ulc,100.0% - Plains Midstream Canada Ulc,1958-01-01,53.16142,-114.90048,Gas Plant Fractionation,13-24-048-07W5M
ABGP0001701,Active,Keyera Fort Sask Frac Plant,GP,Fort Saskatchewan Fractionation Facility,Keyera Energy Ltd.,76.7% - Keyera Energy Ltd.; 21.3% - Plains Midstream Canada Ulc; 2.0% - Exxonmobil Canada Energy,1972-01-01,53.74642,-113.16131,Gas Plant Fractionation,02-14-055-22W4M
ABGP0001702,Active,Gibson Hardisty,GP,Hardisty Liquids Fractionation Plant,Gibson Energy Inc.,100.0% - Gibson Energy Inc.,1982-01-01,52.633,-111.2681,Gas Plant Fractionation,11-20-042-09W4M
ABGP0001703,Active,Plains Fort Sask Frac Plant,GP,Fort Saskatchewan Liquids Storage And Fractionation Plant,Plains Midstream Canada Ulc,100.0% - Plains Midstream Canada Ulc,1972-01-01,53.76103,-113.15931,Gas Plant Fractionation,02-23-055-22W4M
ABGP0001704,Abandoned,Stittco Kemp,GP,Kemp River Fractionation Plant,Stittco Energy Limited,100.0% - Nottingham Midstream Limited,,57.55736,-117.5337,Gas Plant Fractionation,01-04-099-22W5M
ABGP0001705,Suspended,Trisol Caroline,GP,Trisol Caroline,Altagas Ltd.,100.0% - Taqa North Ltd.,,51.8561,-114.74984,Gas Plant Fractionation,03-26-033-06W5M
ABGP0001706,Active,Dow Fort Saskatchewan,GP,Fort Saskatchewan De-Ethanization And Fractionation Facility,Dow Chemical Canada Ulc,100.0% - Dow Chemical Canada Ulc,,53.74567,-113.12815,Gas Plant Fractionation,01-13-055-22W4M
ABGP0001707,Active,Pembina Infra. & Logistics Lp Frac 1,GP,Redwater Fractionation And Storage Facility,Pembina Pipeline,100.0% - Pembina Ngl Corporation,1998-01-01,53.81304,-113.12938,Gas Plant Fractionation,09-01-056-22W4M
